Accession	condition
GSM1369756	Normal
GSM1369757	Normal
GSM1369758	Normal
GSM1369759	Normal
GSM1369760	Normal
GSM1369761	Normal
GSM1369762	Normal
GSM1369763	Normal
GSM1369764	Normal
GSM1369765	Normal
GSM1369766	Normal
GSM1369767	Normal
GSM1369768	Normal
GSM1369769	Normal
GSM1369770	Normal
GSM1369771	Normal
GSM1369772	Normal
GSM1369773	Normal
GSM1369774	Normal
GSM1369775	Normal
GSM1369776	Normal
GSM1369777	Normal
GSM1369778	Normal
GSM1369779	Normal
GSM1369780	Normal
GSM1369781	Normal
GSM1369782	Normal
GSM1369783	Normal
GSM1369784	Normal
GSM1369785	Normal
GSM1369786	Normal
GSM1369787	Normal
GSM1369788	Normal
GSM1369789	Normal
GSM1369790	Normal
GSM1369791	Normal
GSM1369792	Normal
GSM1369793	Normal
GSM1369794	Normal
GSM1369795	Normal
GSM1369796	OP
GSM1369797	OP
GSM1369798	OP
GSM1369799	OP
GSM1369800	OP
GSM1369801	OP
GSM1369802	OP
GSM1369803	OP
GSM1369804	OP
GSM1369805	OP
GSM1369806	OP
GSM1369807	OP
GSM1369808	OP
GSM1369809	OP
GSM1369810	OP
GSM1369811	OP
GSM1369812	OP
GSM1369813	OP
GSM1369814	OP
GSM1369815	OP
GSM1369816	OP
GSM1369817	OP
GSM1369818	OP
GSM1369819	OP
GSM1369820	OP
GSM1369821	OP
GSM1369822	OP
GSM1369823	OP
GSM1369824	OP
GSM1369825	OP
GSM1369826	OP
GSM1369827	OP
GSM1369828	OP
GSM1369829	OP
GSM1369830	OP
GSM1369831	OP
GSM1369832	OP
GSM1369833	OP
GSM1369834	OP
GSM1369835	OP
